customer_ID,customer_segment
1,"Consumer"
2,"Consumer"
3,"Consumer"
4,"Consumer"
6,"Consumer"
9,"Consumer"
11,"Consumer"
17,"Consumer"
18,"Consumer"
20,"Consumer"
21,"Consumer"
26,"Consumer"
27,"Consumer"
28,"Consumer"
29,"Consumer"
31,"Consumer"
33,"Consumer"
35,"Consumer"
37,"Consumer"
38,"Consumer"
39,"Consumer"
40,"Consumer"
41,"Consumer"
42,"Consumer"
45,"Consumer"
46,"Consumer"
48,"Consumer"
49,"Consumer"
50,"Consumer"
56,"Consumer"
57,"Consumer"
58,"Consumer"
59,"Consumer"
62,"Consumer"
65,"Consumer"
68,"Consumer"
69,"Consumer"
72,"Consumer"
75,"Consumer"
76,"Consumer"
79,"Consumer"
82,"Consumer"
84,"Consumer"
85,"Consumer"
89,"Consumer"
90,"Consumer"
91,"Consumer"
98,"Consumer"
99,"Consumer"
100,"Consumer"
105,"Consumer"
107,"Consumer"
108,"Consumer"
112,"Consumer"
113,"Consumer"
115,"Consumer"
117,"Consumer"
118,"Consumer"
119,"Consumer"
120,"Consumer"
122,"Consumer"
124,"Consumer"
125,"Consumer"
128,"Consumer"
131,"Consumer"
133,"Consumer"
134,"Consumer"
135,"Consumer"
137,"Consumer"
138,"Consumer"
141,"Consumer"
142,"Consumer"
145,"Consumer"
148,"Consumer"
151,"Consumer"
152,"Consumer"
155,"Consumer"
156,"Consumer"
163,"Consumer"
164,"Consumer"
165,"Consumer"
166,"Consumer"
168,"Consumer"
171,"Consumer"
173,"Consumer"
177,"Consumer"
179,"Consumer"
182,"Consumer"
183,"Consumer"
184,"Consumer"
185,"Consumer"
187,"Consumer"
188,"Consumer"
194,"Consumer"
197,"Consumer"
200,"Consumer"
201,"Consumer"
204,"Consumer"
206,"Consumer"
209,"Consumer"
212,"Consumer"
218,"Consumer"
220,"Consumer"
221,"Consumer"
226,"Consumer"
228,"Consumer"
229,"Consumer"
230,"Consumer"
231,"Consumer"
234,"Consumer"
235,"Consumer"
237,"Consumer"
240,"Consumer"
243,"Consumer"
245,"Consumer"
246,"Consumer"
247,"Consumer"
249,"Consumer"
250,"Consumer"
253,"Consumer"
254,"Consumer"
256,"Consumer"
257,"Consumer"
259,"Consumer"
263,"Consumer"
267,"Consumer"
269,"Consumer"
270,"Consumer"
274,"Consumer"
275,"Consumer"
278,"Consumer"
279,"Consumer"
283,"Consumer"
284,"Consumer"
285,"Consumer"
287,"Consumer"
288,"Consumer"
290,"Consumer"
294,"Consumer"
299,"Consumer"
300,"Consumer"
303,"Consumer"
305,"Consumer"
307,"Consumer"
312,"Consumer"
313,"Consumer"
314,"Consumer"
316,"Consumer"
317,"Consumer"
318,"Consumer"
320,"Consumer"
321,"Consumer"
322,"Consumer"
323,"Consumer"
326,"Consumer"
327,"Consumer"
328,"Consumer"
329,"Consumer"
332,"Consumer"
333,"Consumer"
334,"Consumer"
335,"Consumer"
336,"Consumer"
338,"Consumer"
340,"Consumer"
341,"Consumer"
344,"Consumer"
346,"Consumer"
349,"Consumer"
350,"Consumer"
355,"Consumer"
356,"Consumer"
358,"Consumer"
359,"Consumer"
361,"Consumer"
363,"Consumer"
365,"Consumer"
370,"Consumer"
373,"Consumer"
377,"Consumer"
381,"Consumer"
382,"Consumer"
384,"Consumer"
385,"Consumer"
386,"Consumer"
387,"Consumer"
388,"Consumer"
389,"Consumer"
391,"Consumer"
392,"Consumer"
394,"Consumer"
396,"Consumer"
397,"Consumer"
399,"Consumer"
401,"Consumer"
402,"Consumer"
403,"Consumer"
404,"Consumer"
407,"Consumer"
408,"Consumer"
409,"Consumer"
410,"Consumer"
411,"Consumer"
416,"Consumer"
418,"Consumer"
